Origin,Designation
AMLGROUP,XX-CORR-CORRUPTION
AMLGROUP,XX-FIN-FRAUD
AMLGROUP,XX-FIN-MONLAUNDERING
AMLGROUP,XX-FIN-OTHERS
AMLGROUP,XX-FIN-TAXEVASION
AMLGROUP,XX-ORG-ORGDCRIME
AMLGROUP,XX-OTH-GAMBLING
AMLGROUP,XX-OTH-HTRAFFICKING
AMLGROUP,XX-OTH-OTHERS
AMLGROUP,XX-OTH-SMUGGLING
AMLGROUP,XX-SENSC-REPUTATION
AMLGROUP,XX-SENSC-RESTRICTED
AMLGROUP,XX-TERR-S311
AMLGROUP,XX-TERR-TERRORISM
AMLLOCAL,AE-FIN-FRAUD
AMLLOCAL,AE-FIN-OTHERS
AMLLOCAL,AE-OTH-OTHERS
AMLLOCAL,AE-SENSC-ASSOC
AMLLOCAL,AE-SENSC-RESTRICTED
AMLLOCAL,AE-TERR-TERRORISM
AMLLOCAL,BH-FIN-OTHERS
AMLLOCAL,BH-TERR-TERRORISM
AMLLOCAL,BN-FIN-FRAUD
AMLLOCAL,BN-FIN-MONLAUNDERING
AMLLOCAL,BN-FIN-OTHERS
AMLLOCAL,BN-FRAUD-WIREFRAUD
AMLLOCAL,BN-OTH-OTHERS
AMLLOCAL,CI-OTH-GAMBLING
AMLLOCAL,CN-FIN-MONLAUNDERING
AMLLOCAL,CN-FIN-OTHERS
AMLLOCAL,CN-OTH-OTHERS
AMLLOCAL,CN-SENSC-ASSOC
AMLLOCAL,CN-SENSC-RESTRICTEDC
AMLLOCAL,CN-TERR-TERRORISM
AMLLOCAL,DE-CORR-CORRUPTION
AMLLOCAL,DE-FIN-FRAUD
AMLLOCAL,DE-FIN-MONLAUNDERING
AMLLOCAL,DE-FIN-OTHERS
AMLLOCAL,DE-FRAUD-WIREFRAUD
AMLLOCAL,DE-OTH-OTHERS
AMLLOCAL,GH-FIN-OTHERS
AMLLOCAL,HK-FIN-MONLAUNDERING
AMLLOCAL,HK-SENSC-REPUTATION
AMLLOCAL,IN-FIN-MONLAUNDERING
AMLLOCAL,IN-FIN-OTHERS
AMLLOCAL,IN-OTH-OTHERS
AMLLOCAL,IN-SENSC-ASSOC
AMLLOCAL,IQ-OTH-OTHERS
AMLLOCAL,JO-OTH-OTHERS
AMLLOCAL,JP-FIN-MONLAUNDERING
AMLLOCAL,JP-OTH-OTHERS
AMLLOCAL,LK-TERR-TERRORISM
AMLLOCAL,MO-FIN-MONLAUNDERING
AMLLOCAL,MY-FIN-MONLAUNDERING
AMLLOCAL,MY-OTH-OTHERS
AMLLOCAL,MY-SENSC-RESTRICTEDC
AMLLOCAL,MY-TERR-TERRORISM
AMLLOCAL,NP-OTH-OTHERS
AMLLOCAL,OM-FRAUD-WIREFRAUD
AMLLOCAL,PK-FIN-TAXEVASION
AMLLOCAL,PK-OTH-OTHERS
AMLLOCAL,QA-OTH-OTHERS
AMLLOCAL,QA-TERR-TERRORISM
AMLLOCAL,SG-FIN-FRAUD
AMLLOCAL,SG-FIN-OTHERS
AMLLOCAL,SG-OTH-OTHERS
AMLLOCAL,SG-SENSC-ASSOC
AMLLOCAL,SG-SENSC-RESTRICTED
AMLLOCAL,SG-TERR-TERRORISM
AMLLOCAL,TH-OTH-OTHERS
AMLLOCAL,TH-SENSC-RESTRICTED
AMLLOCAL,TH-TERR-TERRORISM
AMLLOCAL,TZ-FIN-TAXEVASION
AMLLOCAL,UG-ORG-ORGDCRIME
AMLLOCAL,UK-CORR-CORRUPTION
AMLLOCAL,UK-FIN-FRAUD
AMLLOCAL,UK-FIN-MONLAUNDERING
AMLLOCAL,UK-FIN-OTHERS
AMLLOCAL,UK-FIN-TAXEVASION
AMLLOCAL,UK-FRAUD-WIREFRAUD
AMLLOCAL,UK-ORG-ORGDCRIME
AMLLOCAL,UK-OTH-GAMBLING
AMLLOCAL,UK-OTH-HTRAFFICKING
AMLLOCAL,US-CORR-CORRUPTION
AMLLOCAL,US-FIN-FRAUD
AMLLOCAL,US-FIN-MONLAUNDERING
AMLLOCAL,US-FIN-OTHERS
AMLLOCAL,US-FIN-TAXEVASION
AMLLOCAL,US-FIN-THEFT
AMLLOCAL,US-FRAUD-WIREFRAUD
AMLLOCAL,US-NARC-NARCOTICS
AMLLOCAL,US-ORG-ORGDCRIME
AMLLOCAL,US-OTH-OTHERS
AMLLOCAL,US-SENSC-RESTRICTED
AMLLOCAL,US-TERR-TERRORISM
AMLLOCAL,VN-FIN-FRAUD
AMLLOCAL,VN-FIN-MONLAUNDERING
AMLLOCAL,VN-OTH-GAMBLING
AMLLOCAL,VN-OTH-OTHERS
PEPLOCAL,PK-PEP-POLITICAL
PEPLOCAL,PK-PEP-RELATEDPARTY
SANCTIONSGROUP,EO13959
SANCTIONSGROUP,XX-LISTPARTYNEX-OTH
SANCTIONSGROUP,XX-LISTPARTYNEX-SP05
SANCTIONSGROUP,XX-LISTPARTYNEX-SP06
SANCTIONSGROUP,XX-LISTPARTYNEX-SP07
SANCTIONSGROUP,XX-LISTPARTYNEX-SP08
SANCTIONSGROUP,XX-LISTPARTYNEX-SP09
SANCTIONSGROUP,XX-SANCCNTRYNEX-OTH
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC01
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC02
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC03
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC04
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC05
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC06
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC07
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC08
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC09
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC10
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC11
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC12
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC13
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC14
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC15
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC16
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC17
SANCTIONSGROUP,XX-SANCCNTRYNEX-SC18
SANCTIONSLOCAL,AE-LISTPARTYNEX-SP07
SANCTIONSLOCAL,AE-SANCCNTRYNEX-OTH
SANCTIONSLOCAL,AE-SANCCNTRYNEX-SC09
SANCTIONSLOCAL,AE-SANCCNTRYNEX-SC10
SANCTIONSLOCAL,AE-SANCCNTRYNEX-SC11
SANCTIONSLOCAL,AE-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,BD-SANCCNTRYNEX-SC11
SANCTIONSLOCAL,BH-SANCCNTRYNEX-SC03
SANCTIONSLOCAL,CN-SANCCNTRYNEX-OTH
SANCTIONSLOCAL,CN-SANCCNTRYNEX-SC11
SANCTIONSLOCAL,CN-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,GH-LISTPARTYNEX-OTH
SANCTIONSLOCAL,ID-SANCCNTRYNEX-SC09
SANCTIONSLOCAL,IN-SANCCNTRYNEX-SC11
SANCTIONSLOCAL,IN-SANCCNTRYNEX-SC14
SANCTIONSLOCAL,JO-LISTPARTYNEX-OTH
SANCTIONSLOCAL,JO-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,JP-SANCCNTRYNEX-OTH
SANCTIONSLOCAL,LK-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,MY-SANCCNTRYNEX-SC11
SANCTIONSLOCAL,MY-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,NP-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,PK-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,SG-SANCCNTRYNEX-OTH
SANCTIONSLOCAL,SG-SANCCNTRYNEX-SC02
SANCTIONSLOCAL,SG-SANCCNTRYNEX-SC05
SANCTIONSLOCAL,SG-SANCCNTRYNEX-SC11
SANCTIONSLOCAL,US-SANCCNTRYNEX-OTH
SANCTIONSLOCAL,US-SANCCNTRYNEX-SC02
SANCTIONSLOCAL,US-SANCCNTRYNEX-SC03
SANCTIONSLOCAL,US-SANCCNTRYNEX-SC05
SANCTIONSLOCAL,US-SANCCNTRYNEX-SC10
SANCTIONSLOCAL,US-SANCCNTRYNEX-SC12
SANCTIONSLOCAL,US-SANCCNTRYNEX-SC17
SANCTIONSLOCAL,ZW-LISTPARTYNEX-SP07
